"Geneid","5-days-old","10-days-old","15-days-old","20-days-old","25-days-old","30-days-old","35-days-old","40-days-old","45-days-old","55-days-old"
"Glyma.02G109700",0.566,0.522,0.552,0.359,0.155,0.197,0.191,0.227,0.351,24.275
"Glyma.02G109800",0.006,0.006,0.003,0.009,0.015,0.011,0.017,0.065,0.523,9.95
"Glyma.02G112900",24.019,13.949,14.587,15.703,4.579,8.446,5.958,5.513,0.918,0.018
"Glyma.02G114000",10.796,6.597,7.139,6.037,2.979,4.267,3.156,2.215,1.253,0.316
"Glyma.02G114800",11.699,6.884,6.323,4.425,5.036,5.229,4.787,3.774,2.939,1.003
"Glyma.02G129500",1.41,1.132,1.509,1.161,0.431,0.809,0.339,0.133,0.033,0.007
"Glyma.02G131500",1.221,1.164,1.028,1.501,3.27,1.505,2.274,3.355,7.736,26.929
"Glyma.02G132100",0.745,1.073,1.612,1.043,3.184,1.717,3.127,4.442,12.091,29.627
"Glyma.02G132400",8.448,5.408,3.94,3.93,3.176,4.138,2.942,2.196,1.404,0.379
"Glyma.02G137200",19.871,15.878,14.567,13.547,16.95,16.062,15.477,13.199,12.638,5.626
"Glyma.02G139500",7.259,6.783,5.25,4.404,3.211,3.281,3.012,1.85,2.474,0.824
"Glyma.02G143500",9.671,4.736,2.705,2.907,1.026,2.658,1.545,1.074,0.375,0.317
"Glyma.02G146300",0.018,0.043,0.039,0.027,0.064,0.048,0.072,0.104,0.975,2.429
"Glyma.02G149700",10.949,10.303,10.551,8.689,4.711,6.249,6.435,6.435,5.424,2.172
"Glyma.02G175700",0.287,0.235,0.609,0.902,1.768,1.743,1.643,4.697,1.863,7.36
"Glyma.02G182600",0.456,0.499,0.361,0.405,0.311,0.467,0.311,0.412,1.463,6.349
"Glyma.02G186100",18.453,16.047,14.467,7.24,4.849,5.664,4.86,3.302,5.586,3.236
"Glyma.02G189600",19.774,13.455,9.673,7.898,5.513,7.703,5.27,4.356,2.899,0.44
"Glyma.02G191900",0.981,0.773,0.392,0.738,3.999,1.316,4.504,6.394,24.298,52.238
"Glyma.02G192600",4.576,9.005,11.803,19.793,9.164,14.983,6.29,3.468,2.076,0.305
"Glyma.02G198000",2.124,2.902,2.048,1.301,0.781,1.136,0.653,0.47,0.35,0.215
"Glyma.02G202100",8.106,6.706,2.737,1.911,2.066,1.502,2.012,2.022,1.747,0.649
"Glyma.02G203900",17.753,15.03,9.921,11.757,4.656,8.546,4.114,2.44,1.758,0.864
"Glyma.02G206000",1.304,1.504,1.947,2.252,1.334,2.516,1.251,0.641,0.189,0.001
"Glyma.02G206900",7.559,7.099,5.761,4.705,3.822,3.687,2.736,1.475,0.856,0.184
"Glyma.02G208500",0.077,0.307,0.885,1.593,1.92,2.302,1.675,2.272,4.321,11.96
"Glyma.02G212600",19.944,14.942,7.777,5.724,3.834,4.76,3.529,2.603,2.245,2.11
"Glyma.02G212700",19.725,11.203,7.693,5.727,3.983,5.484,3.056,1.905,1.667,0.734
"Glyma.02G213500",1.616,1.111,0.786,0.566,0.364,0.293,0.379,0.267,1.482,8.455
"Glyma.02G213700",0.052,0.009,0,0.01,0.107,0,0.291,0.263,4.843,87.169
"Glyma.02G215300",1.682,2.083,1.469,2.772,8.33,4.232,8.968,7.75,24.11,74.369
"Glyma.02G217100",23.981,19.941,13.175,12.044,7.311,10.683,10.137,4.776,3.699,1.279
"Glyma.02G218100",36.014,32.523,25.577,22.968,14.969,20.008,16.233,7.121,3.948,0.633
"Glyma.02G218200",0.037,0.03,0.005,0,0.009,0.002,0.04,0.299,2.682,32.069
